DFTU	DFRC	DFNC	DFRN
C14orf162		FRMPD3	
XLOC_008964		FUNDC1	
ZNF782		XLOC_002240	
HMGA1P4		WDR82	
DDX59		LOC100125556	
ANKRD30A		LOC100506982	
DPCD		GNB4	
ZBED5		GIGYF2	
KLRG2		XLOC_007350	
ANXA5		LNX1	
XLOC_l2_004072		DTYMK	
NRXN2		HIBCH	
XLOC_006908		LOC348761	
LOC100506307		XLOC_009514	
TFPI2		LOC100507473	
XLOC_009629		SNORA74B	
KRTAP10-8		ARID5B	
PLCXD1		ZBED1	
SNORD12C		TRIP4	
XLOC_011810		XLOC_012162	
PACRG		ACAD9	
LINC00340		UBE2B	
XLOC_006757		ZNF280C	
XLOC_001370		TMEM71	
TGFA		PTBP3	
KRT7		XLOC_001209	
MTSS1L		CST6	
BBS1		MAPK6	
SNAR-I		LOC100129938	
MGC12982		PWWP2A	
MUC19		XPC	
LINC00086		C2orf47	
REG3A		DUSP8	
CTSW		SUGT1P3	
LOC100287792		MGC39372	
XLOC_l2_012870		WDR45	
LOC100506536		FAM74A3	
CYP39A1		CASP4	
TMEM97		IKBKE	
LOC389641		FKBP7	
ASNSD1		SLC25A12	
CDH18		LYAR	
KLHDC7B		THAP8	
KRTAP5-4		AP3S1	
METAP1D		LOC100506963	
LOC90784		GPR39	
LINC00271		MUC20	
LOC100507092		AMPD2	
ERBB3		PRB3	
DKFZp761E198		ERAP1	
FAM201B		ARF1	
FAM63A		NMT1	
XLOC_003444		ZNF816	
IL17RB		THOC2	
LOC148709		XLOC_003221	
RTBDN		C11orf46	
GUSBP10		TMC8	
MGEA5		LOC100129027	
CRKL		HCG11	
XLOC_003562		XLOC_000535	
LASP1		LOC100652757	
CYP26B1		TSHB	
FFAR2		SNORD101	
BARD1		C22orf36	
LIF		XLOC_011809	
LOC202181		BNIP2	
LAMTOR2		SNORA4	
LOC100506226		SLC2A14	
OR8G2		XLOC_008697	
WNT8A		TRPM8	
FLYWCH2		LOC338588	
SNORD17		MRPL33	
DCTD		IGLL1	
XLOC_009682		LYPLA2	
CCL23		PES1	
XLOC_004691		IMMT	
LRRC26		XLOC_009355	
S100A2		C11orf49	
MOCOS		CDC7	
LOC728175		B3GALNT2	
C11orf86		ADC	
XLOC_l2_001064		XLOC_l2_001971	
FAM3A		LOC100134409	
PLXNC1		CARD16	
PLEKHO1		UCK1	
MAP1LC3A		RAB39B	
XLOC_006948		MTERFD2	
XLOC_l2_010969		STAG3L2	
HSPBP1		XLOC_005812	
OR2D3		DDC	
YWHAE		GPR137C	
HIST2H2BE		TARP	
DOM3Z		PLIN4	
XLOC_003872		HPS4	
LOXL4		HIST1H3A	
XLOC_l2_004553		ZCCHC7	
CLIP2		XLOC_l2_002709	
SRM		ITGAV	
PKP4		ESX1	
KIAA1024		GLT25D1	
TUBB4B		STAG3L4	
LOC100128670		LOC100507668	
C7orf49		ARFGEF2	
DPY19L1P1		XLOC_001497	
LOC723809		HS2ST1	
PVT1		SNORA11C	
PMPCB		MALAT1	
BOP1		OGT	
DEFB130		USP48	
CXADRP3		THAP3	
XLOC_l2_014191		XLOC_005681	
SCARNA23		CPNE8	
PMF1		CLN6	
LINC00483		ADCY10	
XLOC_006898		RNF13	
LOC653075		FAM45A	
XLOC_001545		NOBOX	
lincROR		SPIB	
CYP4F12		PCBD1	
SH2D1B		MAP2K1	
LZTS2		PCDHGC5	
XLOC_008062		SNRNP40	
KRTAP20-1		TTBK1	
TMCC3		XLOC_l2_000465	
SURF2		USE1	
LOC100506538		XLOC_l2_011987	
KRTAP20-4		C11orf21	
XLOC_004595		WBSCR27	
TMEM236		SNORD93	
DNAI2		METTL23	
RAB7L1		FGF7	
XLOC_000302		XLOC_010078	
LMNA		XLOC_011226	
XLOC_009021		CIAO1	
XLOC_001066		HIST1H2APS1	
PFKFB1		TGFA	
XLOC_l2_007427		RPL26L1	
C21orf90		SPATA18	
MED13L		EYA2	
SGK223		DARC	
OR5H14		SMC2	
CTU2		TRIM64	
XLOC_013714		KLF11	
DEFB104B		C19orf2	
UGT2B4		KIR3DL2	
DLGAP4		MLLT6	
ESYT3		DCUN1D5	
HAUS5		CENPQ	
CYP2S1		USP47	
LOC283911		TCEA2	
USP43		XLOC_005513	
ULK1		KRR1	
REM1		SPRY3	
VGLL3		RPS25	
PAPD7		ERH	
TRIM10		LOC100507161	
USP9X		TAP2	
DALRD3		CAD	
LOC100507427		TXNRD2	
NUDT16P1		SOAT1	
CHD7		XLOC_l2_010772	
XLOC_008509		COPB1	
SEMA4C		SMNDC1	
XLOC_004746		ZNF652	
MSX1		RPL35A	
XLOC_007291		SPAG1	
VCAM1		XLOC_010475	
XLOC_009652		NCOA2	
IFI27		GLMN	
MMP2		FEM1C	
PRODH		TYROBP	
XLOC_006419		SUPT5H	
IGSF1		FAM22D	
XLOC_006009		QTRTD1	
XLOC_l2_015127		IKZF2	
LOC100128529		XLOC_013687	
ANKRD26		TRIM13	
ZNF341		NPVF	
PRKCSH		OIP5	
Q982T4		BCL2A1	
PAQR4		CASK	
CDK10		SPANXN2	
CHIC2		PANX1	
OR7E5P		LOC283028	
XLOC_014137		GPAA1	
INS		XLOC_007993	
GSTO1		TMEM167A	
MTRNR2L3		SPATA6	
ZNF160		GUK1	
C14orf149		PADI2	
XLOC_008985		LOC100129138	
ACAD9		ZFHX3	
XLOC_013318		XLOC_012049	
XLOC_000035		SPINK6	
LOC100131541		TEP1	
GM2A		C16orf70	
MDS2		SLC12A8	
DEDD		CENPJ	
PAEP		ATP6V1D	
LYSMD3		LOC100133857	
THOC2		PSTPIP1	
XLOC_007308		PLCD1	
ARHGAP11B		XLOC_004323	
MRPL10		LOC284454	
NDUFA9		LOC100129186	
MTRNR2L7		RBM18	
COG6		LOC100507651	
B3GNT9		XLOC_l2_014388	
ZNF319		RPF1	
XLOC_l2_009285		LOC399829	
C4orf51		CES2	
ASRGL1		C8orf83	
TREX2		MKL1	
SGSM2		SHOX	
C2orf77		RPL27	
LINC00106		SENP6	
XLOC_l2_007468		TMEM99	
GTF3C4		TTC35	
FCN1		ERN1	
TBC1D2B		XLOC_000811	
UBE2Z		CABP5	
GNASAS		ING3	
DYRK3		SNORA38	
SNORA46		BBS10	
XLOC_004646		UBE2G2	
XLOC_l2_012791		XLOC_000505	
ZBTB25		C3orf22	
LOC100134391		MTX2	
HMGCLL1		XLOC_l2_012940	
XLOC_002950		KCND1	
TREML2		ATR	
OR13D1		TMEM136	
LOC100506285		XLOC_005371	
ARHGDIB		B4GALT7	
NIT1		SEC16A	
XLOC_l2_006994		RABGGTA	
XLOC_008847		USP17	
SHC1		SLC30A8	
TMX3		DPY19L4	
CPO		XLOC_002674	
LOC728114		APEH	
MDK		CENPN	
LOC100130456		SLC25A28	
TSSC4		ARL6IP6	
XLOC_008777		C14orf45	
BACH2		LOC100132352	
ACBD4		LOC285540	
KIR2DS2		BGLAP	
SNORD24		PMCHL1	
XLOC_009690		GPAM	
XLOC_012488		THUMPD1	
XLOC_002007		HSPA14	
XLOC_004940		RDH13	
P2RY4		PIN1	
XLOC_008539		CATSPER4	
OTOP1		HMGN2	
XLOC_003742		LOC100507546	
ZNF564		PRR9	
VSIG1		KRTAP1-3	
RAB13		NRG4	
EGLN3		C16orf48	
XLOC_009249		C12orf45	
SHMT1		PDZD8	
PSMD13		PHIP	
XLOC_005893		C13orf27	
ZCCHC7		RAB32	
RASL11A		GAR1	
SNORA34		LOC100129196	
XLOC_010491		BRE	
CSAD		GSDMD	
HMGN4		DDX20	
GGT3P		LOC100134040	
XLOC_001850		ALDH3A2	
ADCY6		SNORD6	
FAM123C		MTIF3	
ZNF766		LOC100509976	
SYNPO2		RPL38	
C20orf43		SNORD37	
XLOC_l2_015964		C6orf99	
IGSF3		LRP2	
XLOC_007528		RASSF4	
FARP2		MOB3B	
XLOC_009231		APBB1IP	
GSTM2P1		TMSB15B	
IMPDH2		LOC100128338	
XLOC_000947		PCDHA2	
XLOC_007119		PLDN	
LOC100505710		DCHS2	
SNAR-G1		XLOC_004562	
USP48		HDLBP	
FAM53C		KLHDC5	
LRRC39		C5orf28	
WAC		XLOC_013489	
STX16		SNORD84	
XLOC_010535		LOC100506128	
CACNA1S		PHF14	
SCARNA7		XLOC_005866	
ADAT1		KLF3	
CDK20		XLOC_003239	
RAB12		SNX13	
INMT		ACRC	
MTOR		TAF7	
DNASE1L1		RILP	
C12orf63		NXPH4	
ATPAF1		ISCU	
METTL7B		PROM2	
LOC100505490		XLOC_001414	
TRMU		CARS2	
XLOC_010932		OR3A3	
FABP3		DIS3	
XLOC_006850		PINK1	
ETFA		SNORD70	
LOC728093		BCCIP	
C1orf74		LAMB1	
TLE1		C1orf53	
RBM3		RNF170	
LOC100132686		FAM174A	
MTCP1NB		FAM5C	
FAM27E3		RARRES2	
LOC344595		CDH18	
LOC642361		SLC15A2	
XLOC_009070		METTL21D	
GOLGA8E		MCU	
ZNF99		KDM2B	
MT1B		PTGDR2	
RFT1		DCAKD	
INTS4L2		SKA3	
OR13C9		XLOC_002256	
MKI67		LOC100506686	
FAT3		ANKAR	
FGD3		XLOC_001454	
C10orf46		TMEM115	
LOC100653178		LOC100287852	
SORBS3		CDCA7	
CLCN6		MYO5A	
PRKACB		HINT3	
FAM53A		XLOC_003444	
C8orf66		MBNL1	
GZMB		TEF	
INHA		ITPRIPL1	
ABCB9		XLOC_005976	
CAMK2D		LPIN1	
SKIV2L		XLOC_l2_014518	
PLA2G4D		CAPNS2	
LOC100652772		XLOC_005619	
CD3EAP		PTPRCAP	
CD53		KIAA1024	
TNP2		KCTD9	
TRIM32		C22orf37	
MED27		RPL31	
XLOC_009840		PRSS53	
TGM2		RPS6KA4	
LOC100653147		RTKN	
NPHP1		SYNPO2L	
LOC728147		NAPG	
NLK		FAS-AS1	
EIF2C3		LOC100507055	
RCSD1		DLGAP1	
XLOC_008625		ZNF24	
CYP46A1		XLOC_003017	
ROR2		KIAA1191	
ACTR3C		MLF1IP	
POLDIP3		Q68PJ0	
XLOC_008465		DNHD1	
CFL1		EXD2	
GRHPR		GM2A	
PMPCA		SUPT6H	
SPATS2L		ZNF101	
PLAG1		XLOC_011393	
LOC393078		SELK	
LOC100507288		CTCFL	
XLOC_007314		PTPDC1	
C19orf70		CUL3	
DDR1		PRDM10	
ZBTB8B		INSL3	
LOC729603		MTHFS	
C9orf114		XLOC_l2_004115	
XLOC_005426		ZBTB17	
XLOC_008528		GLA	
SIX3		GIPC1	
KIAA0586		LOC441242	
XLOC_l2_011424		SNRPN	
TRIM29		CYHR1	
XLOC_000180		ARFGEF1	
XLOC_006255		IDH3B	
UBL4A		GCET2	
C15orf42		C21orf91	
XLOC_005492		ZNF578	
KANSL3		PDE9A	
GPRIN1		LOC644450	
CTAG1A		XLOC_002749	
CYP3A43		SCARNA9	
C18orf45		BAZ1A	
XLOC_005455		GPC6	
ZBTB9		LOC100509553	
TNFAIP8L2		CAPZA1	
APLP2		XLOC_009152	
LOC100505718		LOC158434	
PNLIPRP1		AVPI1	
MIXL1		CARD8	
LOC100507331		XLOC_l2_011043	
SRC		TTC27	
SNORD82		C9orf85	
ATXN2L		XLOC_l2_011302	
TPTE		IFT88	
RAPGEF3		RB1CC1	
XLOC_005419		MRPS33	
MADD		TBC1D17	
CCNK		SEZ6L2	
RNF150		NAP1L5	
UPB1		SNORD15B	
ANKRD34A		CA5B	
XLOC_l2_007178		LOC100505787	
CEP192		GPR3	
TNIP2		IRGQ	
RFC2		AKAP8L	
MYB		LATS1	
AGBL3		CCT4	
XRCC4		UQCRH	
RPL13AP17		RNF31	
XLOC_006640		LOC148189	
CREBBP		METTL15	
TMC3		ENPP4	
XLOC_013206		RNF103	
TELO2		PNLIP	
NHP2L1		SPAG9	
XLOC_000614		C17orf76-AS1	
XLOC_l2_012081		XLOC_012726	
SOST		CTAGE4	
ZNF254		NAB1	
THSD1P1		LOC100506871	
DDX50		CCDC90B	
COBLL1		XLOC_006699	
KPNA6		KIAA1468	
LOC375190		XLOC_012416	
SNORD35B		PLEKHF1	
ZNF778		ARFIP2	
GLB1		C1orf229	
IL10		TOMM34	
YIF1A		XLOC_002523	
PIK3CD		XLOC_006416	
C20orf29		NCF2	
LOC100506633		IFNGR2	
PAPLN		NCR3	
WDR52		PPP1R3G	
XLOC_008481		UBAC2-AS1	
DNAJC10		GLRX	
PCDHA2		FLJ31104	
XLOC_000190		PHOSPHO2-KLHL23	
XLOC_000816		TATDN1	
CDC42SE1		TDP1	
DNASE1		XLOC_003199	
KIAA1324L		XLOC_011654	
LOC283028		DLEU1	
NEIL3		XLOC_003469	
HELLS		KDM6A	
XLOC_006132		ODF2	
TFR2		COX5A	
XLOC_000498		IL17C	
GIMAP5		CD24	
SH2B3		XLOC_012624	
XLOC_012099		DYM	
C7orf54		RNF183	
MVD		PTPN4	
WDR87		C17orf78	
IL17REL		PARP11	
MICALCL		CCNH	
XLOC_012647		UNC119	
GNB1L		BACH1	
GNG5		KRTAP10-2	
PI4K2A		CTF1	
APOBR		SGTB	
XLOC_002993		MYADM	
FDPSL2A		ZC3H6	
LOC100506124		EIF3A	
AMPD1		ZNF785	
ZNF253		XLOC_009808	
XLOC_012196		SNX24	
TRAT1		NDUFAF2	
CDR2		SAMD9L	
TMOD2		XLOC_009217	
MT3		LOC644662	
XLOC_007290		PHOSPHO1	
LOC100128657		XLOC_l2_012836	
XLOC_000166		XLOC_005119	
LOC100505564		XLOC_012166	
GALM		PRKCE	
RBMXL1		ATG5	
COPS6		PRSS54	
ACTL7A		SLC16A3	
IRF3		FAM71F1	
XLOC_002300		ECH1	
LOC401847		XLOC_008873	
ZNF660		XLOC_011819	
SRSF10		RBMS2	
XLOC_l2_005695		ACTR1B	
TBC1D30		EXOSC8	
SULT1A2		CCDC64	
LOC100505678		LOC100507291	
DCTN5		OSGEPL1	
XLOC_013721		GMIP	
BCL2L2		NEK1	
C6orf191		LOC100652805	
NUCB2		RPL36A	
RAD17		CEP128	
ZNF396		ACTA2	
FLJ32742		GDPD5	
UNK		XLOC_002580	
AGXT2L1		XLOC_010947	
DDX3X		XLOC_l2_009029	
GCA		BUB3	
LOC652990		KLHL28	
XLOC_011131		XLOC_007264	
LOC100506173		OR10G3	
TAAR8		LRP8	
C6orf70		XLOC_002588	
MGMT		ZNF343	
XLOC_011339		XLOC_007286	
LOC142937		XLOC_005466	
LOC100130713		XLOC_004448	
LOC100507461		IFT81	
HOMER1		XLOC_007885	
Q6IHG2		XLOC_l2_001583	
XLOC_013960		XLOC_014097	
XLOC_001455		FGD2	
WDR86		KLF12	
CD4		ACE	
HBZ		VPS4A	
XLOC_l2_001967		LOC284576	
AGPAT4-IT1		RERE	
XLOC_l2_010701		CTNNAL1	
LOC100506414		XLOC_l2_012023	
SFXN3		GNB1L	
OR10Q1		IGF2BP1	
ZNF738		FAM161A	
LOC100507406		XLOC_006028	
LOC100128857		LOC153811	
MYH9		XLOC_004100	
ELF4		RBM4B	
PANX3		SNORD12C	
HPS4		FNBP1	
MUC4		TMEM170B	
XLOC_010255		XLOC_002718	
XLOC_010256		TBC1D22A	
APOBEC3H		CEP192	
C10orf125		NDST2	
ZNF718		LOC100216546	
FMO9P		LOC100507568	
FAM75C2		XLOC_009836	
XLOC_004375		VPS13C	
XLOC_004256		KATNB1	
XLOC_012694		XLOC_013029	
YTHDF1		PSMA4	
FLJ30901		LOC100505490	
IFT140		DEPDC4	
ANKRD54		MYOD1	
SNORD38B		PRR24	
SLC32A1		GGT1	
XLOC_011763		APBA2	
LOC100129900		ZNF829	
ACSS2		GPN3	
NDUFA5		DCP2	
XLOC_009969		WBP5	
PLEKHJ1		CNOT4	
RAC2		SNORD51	
GRM2		CATSPERG	
BAD		PPP1R35	
C1QTNF1		KIAA1429	
RASSF6		MAML2	
EDEM3		CSN3	
NHLRC4		LOC100506387	
PREP		LOC100507513	
CEP112		BTNL3	
TTBK1		VWDE	
LOC401052		GATAD2B	
VPS36		NECAB3	
XLOC_004260		ZCCHC13	
LOC100507224		SNX11	
BAX		MSTO1	
NAAA		SLFN13	
RNF41		C5orf49	
Q9BQU3		ADAT3	
XLOC_000643		C1orf109	
SARS2		XLOC_l2_000706	
AAGAB		C22orf15	
TMEM30C		DDX46	
PTRF		CIZ1	
ADSSL1		LOC100131796	
AUTS2		SLCO4C1	
MCAT		NCDN	
LOC100652867		MGEA5	
TP53INP2		XLOC_009349	
XLOC_007167		SPCS3	
XLOC_010399		PDCD1	
LOC100507411		XLOC_004414	
CYP4F8		BIRC3	
CSF1		PSMA1	
LOC100507494		DNAJB11	
WSCD1		XLOC_004879	
XLOC_l2_013772		HEATR7A	
SLC6A19		CNNM4	
LOC390877		CHMP1B	
HCST		SCYL3	
XLOC_008993		SLMO2	
SYK		RGL1	
HDAC1		TTC37	
FOXN1		RAD23A	
XLOC_l2_011969		TM4SF1	
XLOC_002543		TSTA3	
XLOC_012322		STK3	
XLOC_003825		C9orf79	
XLOC_010924		BPI	
LOC100132240		FRMPD2	
XLOC_000388		SYCE1L	
C12orf50		SUMO2	
IFT27		MOV10	
TTC1		TRUB1	
XLOC_012596		SYT9	
MTMR2		XLOC_005940	
CLIC1		ZFP37	
SNORA16A		XLOC_003228	
ZNF434		SLC25A39	
PAFAH1B1		XLOC_012457	
ANKRD33B		SEMA4C	
XLOC_008632		SERPINB7	
TEX101		CLEC9A	
ZNF74		XLOC_003471	
ACTG1		SLC38A1	
EDC4		MDFI	
GPR174		NOP56	
XLOC_003560		KCTD3	
AOC3		SIRT6	
SETD5		SUGP2	
NRSN2		XLOC_007661	
C6orf10		HNF1B	
LAMP1		FIP1L1	
EID2B		WWTR1	
LOC100500773		XLOC_l2_006812	
XLOC_001596		KCNH8	
SSBP3		XLOC_005053	
XLOC_000495		FAM89B	
CDRT15L2		SLC38A5	
ZNF83		NSDHL	
HK2		ZNF615	
OIP5-AS1		XLOC_005740	
LOC100509976		UBTD1	
C9orf140		PRDX1	
SEMA3B		XLOC_009974	
POLRMT		XLOC_012007	
TUFM		ZP3	
TXNRD3NB		LOC100505492	
SETD6		LOC283440	
GATS		ZNF665	
XLOC_001847		LOC728290	
LOC389043		ZCCHC9	
LOC100507254		GNG13	
C2orf57		PTP4A3	
XLOC_004717		FAM76B	
C19orf33		RTF1	
XLOC_011130		KLF8	
NCAN		SELL	
LOC100506176		CLN3	
IGSF9		XLOC_l2_003889	
DCST2		POU3F2	
OR52K2		DNAJC4	
C18orf62		XLOC_000010	
ACSL1		TOMM20	
BLVRB		TAS2R41	
XLOC_011806		MOXD1	
MED19		CCDC159	
ZNF732		ABHD4	
CYBASC3		XLOC_l2_011095	
DNM1P46		XLOC_l2_013628	
UBE2N		GGTLC1	
METTL17		LOC1720	
XLOC_006309		IFI27L2	
IPO4		FSD2	
C6orf136		CTNND2	
RNASEH2A		ESCO2	
DYNC2LI1		ARPC3	
CAD		ADIG	
AAA1		LOC100506668	
PRKG2		HCFC1R1	
SNAPC3		XLOC_009272	
ARG1		WDR33	
XLOC_009554		C19orf10	
NAGA		DSG2	
XLOC_011284		C11orf68	
USP47		XLOC_008372	
ELOVL6		DEFB110	
XLOC_009637		MEMO1	
FLJ21369		SPAG4	
TST		LOC100507637	
ITPKB-IT1		TXNL1	
HERC5		HOXA10	
NDOR1		OXSM	
SETP20		ENDOV	
TSPY2		DCAF5	
BAIAP2L2		DUSP2	
XLOC_007452		KIAA2013	
C1orf43		RIMS1	
FDX1L		RNF145	
ANKRD65		NT5DC3	
CACNG5		SEMA6A	
IGSF9B		ZCCHC14	
SRD5A1		ABCB7	
ANKRD43		ASH1L	
TMLHE		XLOC_000115	
XLOC_006690		XLOC_l2_002204	
TSC22D4		DMRTB1	
CEND1		ZKSCAN1	
KIAA1704		KLHDC7B	
ATP6V1B2		TMEM184B	
XLOC_010398		SCAI	
KRTAP4-11		XLOC_001407	
CCDC92		LAG3	
GDF1		PSKH1	
XLOC_000619		SNORA37	
PDE6D		LOC400548	
CTRL		CDC42	
GBAP1		FOSL2	
LOC100134317		STAT5A	
XLOC_l2_005244		METTL21CP1	
USP4		XLOC_005517	
PARP11		BTN2A2	
SNAPC2		FUBP3	
XLOC_010891		NENF	
XLOC_005278		PDK3	
LOC286063		PSAPL1	
XLOC_008049		YDJC	
LOC100130627		CHID1	
ZNF687		EFCAB5	
ZNF428		ATP2A1	
XLOC_010940		ATOH7	
XLOC_001392		RARRES1	
XLOC_002903		MRPL42	
XLOC_005715		XLOC_004227	
XLOC_l2_015967		XPO5	
C12orf52		HIRIP3	
BEND5		EFR3A	
PRINS		CCDC104	
INSR		ARHGEF6	
HMBOX1		LOC100287509	
SENP1		LINC00322	
XLOC_010594		CHST10	
EPS8L3		RANBP1	
C17orf109		AP1AR	
SPINLW1-WFDC6		LOC284242	
CXCR3		TCEANC2	
ALDH7A1		HIPK1	
LOC727710		CASP8AP2	
GSPT1		CSAG1	
KCNA6		HAO2	
XLOC_005617		RUNDC1	
XLOC_009458		LRP4	
LOC221442		VIL1	
TACO1		SNORD108	
ORM2		TMEM41B	
IFT172		SGCE	
NPHS2		C20orf20	
FAM203A		XLOC_005810	
PCBP2		XLOC_006361	
XLOC_011167		LOC100505678	
SNORA54		C12orf34	
FLJ44385		FLI1	
XLOC_l2_001332		HTATSF1	
CT47A11		DNAPTP3	
XLOC_006617		ATG4C	
EXOG		CEP55	
CENPBD1		C18orf12	
UBE2G2		XLOC_l2_002469	
CD86		LOC100505894	
HTR1F		SRRM3	
HJURP		OR8H2	
LOC100233209		NUB1	
LINC00087		COX17	
LINC00473		TSPO2	
XLOC_l2_007832		HYDIN	
ARHGAP30		BASP1P1	
ELAVL4		LOC100505634	
GOLGA6L10		ANXA7	
XLOC_008693		ZNF444	
XLOC_005020		HS1BP3	
C8orf55		XLOC_l2_011901	
XLOC_012535		LOC100129888	
SYN2		ZNF548	
XLOC_l2_001086		XLOC_005629	
XLOC_000819		GSG1L	
GNLY		CDKN2B	
LOC100506518		FERD3L	
GNRH2		FZD1	
ALS2CL		XLOC_004517	
LCE1C		XLOC_l2_001118	
LZIC		AIM2	
ESRG		IKBKAP	
LOC100130453		XLOC_001387	
OTUD7A		XLOC_013218	
LOC728407		LOC100505987	
PART1		NHEJ1	
PMF1-BGLAP		GCN1L1	
LRPAP1		XLOC_002191	
PHF1		TPI1	
XLOC_009733		XLOC_005749	
ACOX1		TUSC5	
CCDC30		PKNOX1	
CUL9		PART1	
XLOC_013811		BOP1	
LOC100128164		SLC25A14	
COL23A1		XLOC_011548	
XLOC_l2_011399		CDK17	
XLOC_005863		SPECC1	
HLA-DPA1		LOC154822	
SPAM1		CNPY2	
XLOC_l2_008976		DENR	
LOC100505787		XLOC_l2_006594	
LOC442497		NAMPT	
DUSP10		XLOC_011537	
TOMM20L		XLOC_003702	
STK33		C14orf70	
PSMB10		GPR6	
XLOC_l2_014645		TTBK2	
PDLIM2		LOC100506913	
XLOC_000983		XLOC_002860	
LOC100287482		KRT9	
GSTT1		XLOC_l2_015491	
SPRR1A		TBC1D3G	
ARSG		XLOC_001755	
XLOC_004308		PTPRN	
FAM182A		APITD1	
XLOC_l2_014720		NKRF	
XLOC_000527		XLOC_001331	
ABCC5		MIS18A	
XLOC_007170		LOC389765	
EPHX4		XLOC_003556	
BTNL3		PSMD12	
PSG6		LOC283404	
GYS1		RP1-177G6.2	
SLCO2A1		MCTP1	
GPT2		BATF3	
XLOC_013615		CD302	
XLOC_l2_002910		NOL7	
XLOC_000572		PPP6R3	
XLOC_001215		SNORD71	
PRSS35		XLOC_001775	
FLJ34208		KCNV2	
ADRA2C		LSR	
PET112		XLOC_002779	
XLOC_009689		XLOC_013732	
SNRK		FIG4	
GEMIN7		NDUFB6	
OR7E24		PHC3	
SERAC1		GATAD2A	
PYCRL		XLOC_010291	
RUFY3		CITED4	
LOC100131825		NAA15	
LRP3		ZNF668	
RNU1-5		MKNK2	
KIF7		ARL4A	
XLOC_010037		MYBL1	
AKT2		XLOC_007506	
LOC100130452		ATE1	
LOC100505771		JSRP1	
ATXN3L		XLOC_004446	
OR52W1		ARL8A	
XLOC_011507		TM2D1	
IL12RB1		FLJ25694	
MIF		SMN2	
YDJC		USP26	
UBE2R2		XLOC_006737	
MBD3L2		KAT6A	
EHMT2		MIER1	
WWP2		XLOC_002303	
LMO1		LOC285422	
C4orf49		MEF2BNB	
MBOAT7		MRPL32	
LOC100507760		SKP1	
C20orf3		TAS2R3	
LOC285629		LOC285768	
XLOC_000659		XLOC_l2_013119	
LOC100506029		TBC1D2B	
MCOLN1		PNMA1	
XLOC_006035		SLC17A5	
HTRA2		LAIR2	
MKRN7P		TTTY16	
C4orf42		GPRIN1	
SNORD115-32		FBXL19-AS1	
WDR38		OR6X1	
C6orf62		LINC00307	
C9orf64		SCARNA16	
SNORA74B		CDK5RAP1	
KIF14		HCFC1	
TRAPPC5		XLOC_011309	
FAM26F		LY9	
LOC100506516		MAPRE1	
PDC		AP1G1	
KRT16		GGA2	
RMND1		XLOC_002392	
GSDMB		GML	
GAL3ST2		NOP2	
SMPD4		C6orf26	
O3FAR1		CDC42EP4	
RAB2B		XLOC_013864	
LOC283788		ZNF621	
LOC100507050		LOC439911	
C10orf96		NBR1	
SLITRK4		SLIT2	
PMP22		LILRA2	
SLED1		PPARGC1B	
LOC439994		LOC100505672	
RBP1		GBA2	
ZNF619		TSEN54	
SLC36A4		LOC100508995	
XLOC_l2_011612		EIF1AY	
CCDC60		C9orf142	
GABRR3		ZFYVE16	
RDBP		IDI2-AS1	
PRPS1L1		C9orf23	
KIR3DL3		TRIOBP	
XLOC_005737		RAB40C	
IAPP		SEC23IP	
FBXW9		IFITM3	
CIB1		XLOC_014418	
LOC100287558		HECA	
XLOC_l2_004010		RCN3	
CTRB2		SLC16A1	
PHRF1		CCDC34	
XLOC_002744		OPTN	
RRP1		LGALS3BP	
LOC100288346		EBLN2	
XLOC_011346		ACSM4	
XLOC_001337		XLOC_012720	
MAST2		KCTD1	
C6orf106		SHROOM3	
LOC100506494		AP4E1	
XLOC_001630		LOC100652804	
USP24		XLOC_002935	
XLOC_007750		XLOC_002997	
DHRS4L1		OR2T12	
RPA4		MGC12982	
LOC257358		TPTE2	
LOC728802		SLC22A31	
RHOT2		XLOC_l2_011423	
TMEM141		LOC100505799	
KRT9		XPO6	
GLTPD2		NAA25	
XLOC_l2_011007		CPT1B	
C14orf81		BTBD6	
PGK2		LOC400684	
EIF6		FAM168B	
RABIF		YPEL5	
ZNF169		MRPL30	
XLOC_000230		Q9N083	
C17orf28		MED6	
PNMAL1		FCRL1	
XLOC_000110		XLOC_005875	
ZNF468		XLOC_005561	
XLOC_l2_005606		LY96	
XLOC_008965		C8orf74	
XLOC_004044		U2SURP	
PHC1		LOC145820	
IFNA8		COPS3	
PECR		FAM120B	
XLOC_002720		RSL24D1	
XLOC_011197		OR2W3	
LOC100506115		LOC100507372	
TP53RK		C4BPA	
CTCFL		PDCD2	
SH3KBP1		XLOC_009829	
XLOC_004950		RBBP8	
XLOC_004138		LRFN3	
XLOC_000955		RCSD1	
PHF20L1		B3GALNT1	
XLOC_010855		SLC35E3	
DEFA8P		ARHGEF2	
MRPL37		PURA	
FLJ20712		STIM1	
ACOT7		TBC1D28	
NCOA3		RNF149	
XLOC_010208		XLOC_l2_000720	
VOPP1		XLOC_003889	
LOC391764		SH3GL1P2	
XLOC_005316		SHC2	
XLOC_003199		SPAG16	
MCCC1		FMR1	
NLRP14		AIP	
LRRC10B		CCDC124	
FIBP		APAF1	
XLOC_l2_008910		STAT2	
RHPN1		PROC	
TMEM88		XLOC_005958	
PLEKHG6		MAP4	
PSME3		LOC283335	
FMO4		XLOC_011138	
XLOC_013611		TCEAL6	
C1orf106		KAT2B	
KLHL10		LRIT3	
